16:47:15.118 -> Humidity: 43.40 %, Temp: 37.20 Celsius
16:47:25.116 -> Humidity: 43.50 %, Temp: 37.20 Celsius
16:47:35.109 -> Humidity: 43.50 %, Temp: 37.20 Celsius
16:47:45.099 -> Humidity: 43.40 %, Temp: 37.30 Celsius
16:47:55.063 -> Humidity: 43.20 %, Temp: 37.20 Celsius
16:48:05.083 -> Humidity: 43.20 %, Temp: 37.20 Celsius
16:48:15.062 -> Humidity: 43.20 %, Temp: 37.20 Celsius
16:48:25.041 -> Humidity: 43.30 %, Temp: 37.20 Celsius
16:48:35.049 -> Humidity: 43.40 %, Temp: 37.20 Celsius
16:48:45.026 -> Humidity: 43.50 %, Temp: 37.20 Celsius
16:48:55.001 -> Humidity: 43.60 %, Temp: 37.20 Celsius
16:49:05.011 -> Humidity: 43.70 %, Temp: 37.20 Celsius
16:49:15.009 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:49:24.986 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:49:34.952 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:49:44.934 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:49:54.943 -> Humidity: 43.90 %, Temp: 37.20 Celsius
16:50:04.959 -> Humidity: 43.90 %, Temp: 37.20 Celsius
16:50:14.951 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:50:24.899 -> Humidity: 43.90 %, Temp: 37.20 Celsius
16:50:34.921 -> Humidity: 44.00 %, Temp: 37.20 Celsius
16:50:44.916 -> Humidity: 44.00 %, Temp: 37.20 Celsius
16:50:54.894 -> Humidity: 44.00 %, Temp: 37.20 Celsius
16:51:04.891 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:51:14.842 -> Humidity: 44.00 %, Temp: 37.20 Celsius
16:51:24.858 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:51:34.852 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:51:44.833 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:51:54.808 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:52:04.788 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:52:14.794 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:52:24.791 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:52:34.754 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:52:44.782 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:52:54.748 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:53:04.761 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:53:14.748 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:53:24.725 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:53:34.713 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:53:44.703 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:53:54.671 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:54:04.685 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:54:14.676 -> Humidity: 44.20 %, Temp: 37.30 Celsius
16:54:24.673 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:54:34.628 -> Humidity: 44.30 %, Temp: 37.30 Celsius
16:54:44.615 -> Humidity: 44.20 %, Temp: 37.20 Celsius
16:54:54.638 -> Humidity: 44.10 %, Temp: 37.20 Celsius
16:55:04.604 -> Humidity: 44.00 %, Temp: 37.20 Celsius
16:55:14.618 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:55:24.588 -> Humidity: 43.90 %, Temp: 37.30 Celsius
16:55:34.577 -> Humidity: 43.90 %, Temp: 37.30 Celsius
16:55:44.556 -> Humidity: 43.90 %, Temp: 37.30 Celsius
16:55:54.551 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:56:04.569 -> Humidity: 43.70 %, Temp: 37.20 Celsius
16:56:14.517 -> Humidity: 43.80 %, Temp: 37.30 Celsius
16:56:24.534 -> Humidity: 43.70 %, Temp: 37.20 Celsius
16:56:34.499 -> Humidity: 43.60 %, Temp: 37.20 Celsius
16:56:44.500 -> Humidity: 43.60 %, Temp: 37.20 Celsius
16:56:54.497 -> Humidity: 43.70 %, Temp: 37.20 Celsius
16:57:04.495 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:57:14.464 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:57:24.443 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:57:34.466 -> Humidity: 43.80 %, Temp: 37.20 Celsius
16:57:44.423 -> Humidity: 43.70 %, Temp: 37.20 Celsius
16:57:54.451 -> Humidity: 43.60 %, Temp: 37.10 Celsius
