14:57:26.229 -> Humidity: 58.30 %, Temp: 37.00 Celsius
14:57:36.220 -> Humidity: 58.40 %, Temp: 37.00 Celsius
14:57:46.183 -> Humidity: 58.40 %, Temp: 37.00 Celsius
14:57:56.203 -> Humidity: 58.50 %, Temp: 37.00 Celsius
14:58:06.184 -> Humidity: 58.60 %, Temp: 37.00 Celsius
14:58:16.153 -> Humidity: 58.70 %, Temp: 37.00 Celsius
14:58:26.170 -> Humidity: 58.80 %, Temp: 37.00 Celsius
14:58:36.155 -> Humidity: 58.90 %, Temp: 37.00 Celsius
14:58:46.124 -> Humidity: 58.90 %, Temp: 37.00 Celsius
14:58:56.113 -> Humidity: 59.00 %, Temp: 37.00 Celsius
14:59:06.092 -> Humidity: 59.00 %, Temp: 37.00 Celsius
14:59:16.075 -> Humidity: 59.10 %, Temp: 37.00 Celsius
14:59:26.091 -> Humidity: 59.20 %, Temp: 37.10 Celsius
14:59:36.097 -> Humidity: 59.30 %, Temp: 37.10 Celsius
14:59:46.076 -> Humidity: 59.40 %, Temp: 37.10 Celsius
14:59:56.035 -> Humidity: 59.40 %, Temp: 37.10 Celsius
15:00:06.063 -> Humidity: 59.50 %, Temp: 37.10 Celsius
15:00:16.025 -> Humidity: 59.50 %, Temp: 37.10 Celsius
15:00:26.034 -> Humidity: 59.50 %, Temp: 37.10 Celsius
15:00:36.024 -> Humidity: 59.60 %, Temp: 37.10 Celsius
15:00:46.020 -> Humidity: 59.70 %, Temp: 37.10 Celsius
15:00:56.003 -> Humidity: 59.70 %, Temp: 37.10 Celsius
15:01:05.965 -> Humidity: 59.80 %, Temp: 37.10 Celsius
15:01:15.960 -> Humidity: 59.80 %, Temp: 37.10 Celsius
15:01:25.947 -> Humidity: 59.90 %, Temp: 37.10 Celsius
15:01:35.964 -> Humidity: 60.10 %, Temp: 37.20 Celsius
15:01:45.934 -> Humidity: 60.00 %, Temp: 37.10 Celsius
15:01:55.928 -> Humidity: 60.00 %, Temp: 37.10 Celsius
15:02:05.916 -> Humidity: 60.10 %, Temp: 37.10 Celsius
15:02:15.919 -> Humidity: 60.20 %, Temp: 37.10 Celsius
15:02:25.904 -> Humidity: 60.30 %, Temp: 37.10 Celsius
15:02:35.898 -> Humidity: 60.30 %, Temp: 37.10 Celsius
15:02:45.864 -> Humidity: 60.40 %, Temp: 37.10 Celsius
15:02:55.879 -> Humidity: 60.50 %, Temp: 37.10 Celsius
15:03:05.856 -> Humidity: 60.50 %, Temp: 37.10 Celsius
15:03:15.827 -> Humidity: 60.60 %, Temp: 37.10 Celsius
15:03:25.809 -> Humidity: 60.70 %, Temp: 37.10 Celsius
15:03:35.808 -> Humidity: 60.70 %, Temp: 37.10 Celsius
15:03:45.789 -> Humidity: 60.70 %, Temp: 37.10 Celsius
15:03:55.793 -> Humidity: 60.70 %, Temp: 37.10 Celsius
15:04:05.783 -> Humidity: 60.80 %, Temp: 37.10 Celsius
15:04:15.774 -> Humidity: 60.80 %, Temp: 37.10 Celsius
15:04:25.765 -> Humidity: 61.00 %, Temp: 37.20 Celsius
15:04:35.758 -> Humidity: 61.10 %, Temp: 37.20 Celsius
15:04:45.741 -> Humidity: 61.20 %, Temp: 37.20 Celsius
15:04:55.738 -> Humidity: 61.30 %, Temp: 37.20 Celsius
15:05:05.698 -> Humidity: 61.40 %, Temp: 37.20 Celsius
15:05:15.693 -> Humidity: 61.50 %, Temp: 37.20 Celsius
15:05:25.695 -> Humidity: 61.50 %, Temp: 37.20 Celsius
15:05:35.684 -> Humidity: 61.50 %, Temp: 37.20 Celsius
15:05:45.688 -> Humidity: 61.60 %, Temp: 37.20 Celsius
15:05:55.661 -> Humidity: 61.60 %, Temp: 37.20 Celsius
15:06:05.673 -> Humidity: 61.70 %, Temp: 37.20 Celsius
15:06:15.658 -> Humidity: 61.70 %, Temp: 37.20 Celsius
15:06:25.623 -> Humidity: 61.80 %, Temp: 37.20 Celsius
15:06:35.606 -> Humidity: 61.80 %, Temp: 37.20 Celsius
15:06:45.597 -> Humidity: 61.90 %, Temp: 37.20 Celsius
15:06:55.612 -> Humidity: 61.90 %, Temp: 37.20 Celsius
15:07:05.606 -> Humidity: 61.90 %, Temp: 37.20 Celsius
15:07:15.555 -> Humidity: 61.90 %, Temp: 37.20 Celsius
15:07:25.559 -> Humidity: 62.00 %, Temp: 37.20 Celsius
15:07:35.559 -> Humidity: 62.10 %, Temp: 37.20 Celsius
15:07:45.545 -> Humidity: 62.10 %, Temp: 37.20 Celsius
15:07:55.557 -> Humidity: 62.10 %, Temp: 37.20 Celsius
15:08:05.523 -> Humidity: 62.20 %, Temp: 37.20 Celsius
15:08:15.509 -> Humidity: 62.30 %, Temp: 37.20 Celsius
15:08:25.501 -> Humidity: 62.20 %, Temp: 37.20 Celsius
15:08:35.492 -> Humidity: 62.30 %, Temp: 37.20 Celsius
15:08:45.453 -> Humidity: 62.20 %, Temp: 37.20 Celsius
15:08:55.478 -> Humidity: 62.20 %, Temp: 37.20 Celsius
15:09:05.461 -> Humidity: 62.30 %, Temp: 37.20 Celsius
15:09:15.447 -> Humidity: 62.30 %, Temp: 37.20 Celsius
15:09:25.432 -> Humidity: 62.40 %, Temp: 37.20 Celsius
15:09:35.445 -> Humidity: 62.30 %, Temp: 37.20 Celsius
15:09:45.432 -> Humidity: 62.30 %, Temp: 37.20 Celsius
15:09:55.401 -> Humidity: 62.30 %, Temp: 37.20 Celsius
15:10:05.384 -> Humidity: 62.40 %, Temp: 37.20 Celsius
15:10:15.359 -> Humidity: 62.40 %, Temp: 37.20 Celsius
15:10:25.390 -> Humidity: 62.50 %, Temp: 37.20 Celsius
15:10:35.382 -> Humidity: 62.50 %, Temp: 37.20 Celsius
15:10:45.355 -> Humidity: 62.60 %, Temp: 37.20 Celsius
15:10:55.344 -> Humidity: 62.60 %, Temp: 37.20 Celsius
15:11:05.312 -> Humidity: 62.70 %, Temp: 37.20 Celsius
15:11:15.332 -> Humidity: 62.80 %, Temp: 37.20 Celsius
15:11:25.319 -> Humidity: 62.80 %, Temp: 37.20 Celsius
15:11:35.275 -> Humidity: 62.80 %, Temp: 37.20 Celsius
15:11:45.275 -> Humidity: 62.80 %, Temp: 37.20 Celsius
15:11:55.278 -> Humidity: 62.80 %, Temp: 37.20 Celsius
15:12:05.284 -> Humidity: 62.90 %, Temp: 37.20 Celsius
15:12:15.257 -> Humidity: 62.90 %, Temp: 37.20 Celsius
15:12:25.229 -> Humidity: 62.90 %, Temp: 37.20 Celsius
15:12:35.245 -> Humidity: 62.90 %, Temp: 37.20 Celsius
15:12:45.208 -> Humidity: 62.80 %, Temp: 37.20 Celsius
15:12:55.205 -> Humidity: 62.80 %, Temp: 37.20 Celsius
15:13:05.183 -> Humidity: 62.90 %, Temp: 37.20 Celsius
15:13:15.167 -> Humidity: 63.00 %, Temp: 37.20 Celsius
15:13:25.174 -> Humidity: 63.10 %, Temp: 37.20 Celsius
15:13:35.156 -> Humidity: 63.20 %, Temp: 37.20 Celsius
15:13:45.170 -> Humidity: 63.30 %, Temp: 37.20 Celsius
15:13:55.158 -> Humidity: 63.40 %, Temp: 37.20 Celsius
15:14:05.125 -> Humidity: 63.40 %, Temp: 37.20 Celsius
15:14:15.104 -> Humidity: 63.40 %, Temp: 37.20 Celsius
15:14:25.115 -> Humidity: 63.50 %, Temp: 37.20 Celsius
15:14:35.103 -> Humidity: 63.50 %, Temp: 37.20 Celsius
15:14:45.104 -> Humidity: 63.50 %, Temp: 37.20 Celsius
15:14:55.091 -> Humidity: 63.60 %, Temp: 37.20 Celsius
15:15:05.048 -> Humidity: 63.60 %, Temp: 37.20 Celsius
15:15:15.049 -> Humidity: 63.60 %, Temp: 37.20 Celsius
15:15:25.058 -> Humidity: 63.70 %, Temp: 37.20 Celsius
15:15:35.010 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:15:45.024 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:15:54.998 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:16:05.027 -> Humidity: 63.90 %, Temp: 37.20 Celsius
15:16:15.001 -> Humidity: 63.90 %, Temp: 37.20 Celsius
15:16:24.973 -> Humidity: 63.90 %, Temp: 37.20 Celsius
15:16:34.965 -> Humidity: 63.90 %, Temp: 37.20 Celsius
15:16:44.963 -> Humidity: 63.90 %, Temp: 37.20 Celsius
15:16:54.927 -> Humidity: 64.00 %, Temp: 37.20 Celsius
15:17:04.949 -> Humidity: 63.90 %, Temp: 37.20 Celsius
15:17:14.919 -> Humidity: 64.10 %, Temp: 37.30 Celsius
15:17:24.916 -> Humidity: 64.00 %, Temp: 37.20 Celsius
15:17:34.921 -> Humidity: 64.00 %, Temp: 37.20 Celsius
15:17:44.876 -> Humidity: 64.10 %, Temp: 37.30 Celsius
15:17:54.893 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:18:04.848 -> Humidity: 63.90 %, Temp: 37.30 Celsius
15:18:14.880 -> Humidity: 63.90 %, Temp: 37.30 Celsius
15:18:24.871 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:18:34.822 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:18:44.819 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:18:54.831 -> Humidity: 63.80 %, Temp: 37.20 Celsius
15:19:04.801 -> Humidity: 64.00 %, Temp: 37.30 Celsius
15:19:14.792 -> Humidity: 64.00 %, Temp: 37.30 Celsius
15:19:24.769 -> Humidity: 63.90 %, Temp: 37.20 Celsius
15:19:34.768 -> Humidity: 64.00 %, Temp: 37.20 Celsius
15:19:44.756 -> Humidity: 64.10 %, Temp: 37.30 Celsius
15:19:54.739 -> Humidity: 64.10 %, Temp: 37.30 Celsius
15:20:04.742 -> Humidity: 64.20 %, Temp: 37.30 Celsius
15:20:14.710 -> Humidity: 64.20 %, Temp: 37.30 Celsius
15:20:24.702 -> Humidity: 64.20 %, Temp: 37.30 Celsius
15:20:34.728 -> Humidity: 64.20 %, Temp: 37.30 Celsius
15:20:44.697 -> Humidity: 64.10 %, Temp: 37.20 Celsius
15:20:54.691 -> Humidity: 64.30 %, Temp: 37.30 Celsius
15:21:04.676 -> Humidity: 64.30 %, Temp: 37.30 Celsius
15:21:14.657 -> Humidity: 64.30 %, Temp: 37.20 Celsius
15:21:24.632 -> Humidity: 64.40 %, Temp: 37.30 Celsius
15:21:34.625 -> Humidity: 64.30 %, Temp: 37.20 Celsius
15:21:44.647 -> Humidity: 64.40 %, Temp: 37.30 Celsius
15:21:54.636 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:22:04.621 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:22:14.620 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:22:24.613 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:22:34.555 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:22:44.555 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:22:54.573 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:23:04.542 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:23:14.512 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:23:24.537 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:23:34.520 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:23:44.499 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:23:54.511 -> Humidity: 64.50 %, Temp: 37.30 Celsius
15:24:04.459 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:24:14.454 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:24:24.468 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:24:34.444 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:24:44.444 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:24:54.421 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:25:04.413 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:25:14.399 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:25:24.380 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:25:34.367 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:25:44.375 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:25:54.346 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:26:04.352 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:26:14.349 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:26:24.347 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:26:34.337 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:26:44.296 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:26:54.315 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:27:04.304 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:27:14.279 -> Humidity: 64.60 %, Temp: 37.30 Celsius
15:27:24.244 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:27:34.273 -> Humidity: 64.70 %, Temp: 37.30 Celsius
15:27:44.246 -> Humidity: 64.70 %, Temp: 37.30 Celsius
