16:16:12.232 -> Humidity: 35.60 %, Temp: 37.50 Celsius
16:16:22.216 -> Humidity: 35.60 %, Temp: 37.50 Celsius
16:16:32.191 -> Humidity: 35.50 %, Temp: 37.50 Celsius
16:16:42.208 -> Humidity: 35.50 %, Temp: 37.50 Celsius
16:16:52.166 -> Humidity: 35.50 %, Temp: 37.50 Celsius
16:17:02.171 -> Humidity: 35.50 %, Temp: 37.50 Celsius
16:17:12.149 -> Humidity: 35.60 %, Temp: 37.50 Celsius
16:17:22.158 -> Humidity: 35.60 %, Temp: 37.50 Celsius
16:17:32.116 -> Humidity: 35.60 %, Temp: 37.50 Celsius
16:17:42.122 -> Humidity: 35.70 %, Temp: 37.50 Celsius
16:17:52.131 -> Humidity: 35.70 %, Temp: 37.50 Celsius
16:18:02.117 -> Humidity: 35.70 %, Temp: 37.50 Celsius
16:18:12.114 -> Humidity: 35.70 %, Temp: 37.50 Celsius
16:18:22.067 -> Humidity: 35.70 %, Temp: 37.50 Celsius
16:18:32.093 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:18:42.044 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:18:52.072 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:19:02.064 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:19:12.036 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:19:22.037 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:19:31.998 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:19:42.028 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:19:51.991 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:20:01.975 -> Humidity: 35.90 %, Temp: 37.50 Celsius
16:20:11.992 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:20:21.940 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:20:31.945 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:20:41.949 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:20:51.936 -> Humidity: 35.80 %, Temp: 37.50 Celsius
16:21:01.941 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:21:11.891 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:21:21.913 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:21:31.896 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:21:41.880 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:21:51.884 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:22:01.872 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:22:11.861 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:22:21.859 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:22:31.849 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:22:41.824 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:22:51.821 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:23:01.798 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:23:11.786 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:23:21.762 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:23:31.770 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:23:41.751 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:23:51.753 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:24:01.747 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:24:11.737 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:24:21.712 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:24:31.687 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:24:41.685 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:24:51.668 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:25:01.659 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:25:11.653 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:25:21.676 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:25:31.625 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:25:41.643 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:25:51.596 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:26:01.625 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:26:11.578 -> Humidity: 35.90 %, Temp: 37.60 Celsius
16:26:21.605 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:26:31.555 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:26:41.575 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:26:51.561 -> Humidity: 35.90 %, Temp: 37.50 Celsius
16:27:01.531 -> Humidity: 35.90 %, Temp: 37.50 Celsius
16:27:11.514 -> Humidity: 36.00 %, Temp: 37.50 Celsius
16:27:21.525 -> Humidity: 36.00 %, Temp: 37.50 Celsius
16:27:31.507 -> Humidity: 36.00 %, Temp: 37.50 Celsius
16:27:41.495 -> Humidity: 36.00 %, Temp: 37.50 Celsius
16:27:51.473 -> Humidity: 35.90 %, Temp: 37.50 Celsius
16:28:01.469 -> Humidity: 36.00 %, Temp: 37.50 Celsius
16:28:11.452 -> Humidity: 36.00 %, Temp: 37.50 Celsius
16:28:21.454 -> Humidity: 36.10 %, Temp: 37.50 Celsius
16:28:31.444 -> Humidity: 36.10 %, Temp: 37.50 Celsius
16:28:41.411 -> Humidity: 36.20 %, Temp: 37.50 Celsius
16:28:51.438 -> Humidity: 36.20 %, Temp: 37.50 Celsius
16:29:01.390 -> Humidity: 36.20 %, Temp: 37.50 Celsius
16:29:11.388 -> Humidity: 36.20 %, Temp: 37.50 Celsius
16:29:21.420 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:29:31.385 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:29:41.357 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:29:51.379 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:30:01.355 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:30:11.325 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:30:21.324 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:30:31.308 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:30:41.287 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:30:51.292 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:31:01.267 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:31:11.299 -> Humidity: 36.30 %, Temp: 37.50 Celsius
16:31:21.276 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:31:31.274 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:31:41.269 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:31:51.242 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:32:01.226 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:32:11.212 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:32:21.197 -> Humidity: 36.30 %, Temp: 37.60 Celsius
16:32:31.180 -> Humidity: 36.20 %, Temp: 37.60 Celsius
16:32:41.174 -> Humidity: 36.20 %, Temp: 37.60 Celsius
16:32:51.187 -> Humidity: 36.20 %, Temp: 37.60 Celsius
16:33:01.169 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:33:11.136 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:33:21.155 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:33:31.113 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:33:41.131 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:33:51.124 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:34:01.091 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:34:11.103 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:34:21.074 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:34:31.055 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:34:41.069 -> Humidity: 36.00 %, Temp: 37.60 Celsius
16:34:51.054 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:35:01.031 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:35:11.042 -> Humidity: 36.10 %, Temp: 37.60 Celsius
16:35:21.011 -> Humidity: 36.20 %, Temp: 37.60 Celsius
16:35:30.989 -> Humidity: 36.20 %, Temp: 37.60 Celsius
16:35:41.008 -> Humidity: 36.30 %, Temp: 37.60 Celsius
16:35:50.973 -> Humidity: 36.30 %, Temp: 37.60 Celsius
16:36:00.994 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:36:10.944 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:36:20.945 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:36:30.950 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:36:40.924 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:36:50.911 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:37:00.924 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:37:10.912 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:37:20.882 -> Humidity: 36.40 %, Temp: 37.60 Celsius
16:37:30.858 -> Humidity: 36.50 %, Temp: 37.60 Celsius
16:37:40.890 -> Humidity: 36.60 %, Temp: 37.70 Celsius
16:37:50.847 -> Humidity: 36.60 %, Temp: 37.70 Celsius
16:38:00.834 -> Humidity: 36.60 %, Temp: 37.70 Celsius
16:38:10.822 -> Humidity: 36.60 %, Temp: 37.70 Celsius
16:38:20.828 -> Humidity: 36.60 %, Temp: 37.70 Celsius
16:38:30.799 -> Humidity: 36.50 %, Temp: 37.70 Celsius
16:38:40.827 -> Humidity: 36.50 %, Temp: 37.70 Celsius
16:38:50.797 -> Humidity: 36.50 %, Temp: 37.70 Celsius
16:39:00.789 -> Humidity: 36.50 %, Temp: 37.70 Celsius
16:39:10.761 -> Humidity: 36.50 %, Temp: 37.70 Celsius
16:39:20.741 -> Humidity: 36.50 %, Temp: 37.70 Celsius
16:39:30.754 -> Humidity: 36.50 %, Temp: 37.70 Celsius
16:39:40.753 -> Humidity: 36.40 %, Temp: 37.70 Celsius
16:39:50.754 -> Humidity: 36.40 %, Temp: 37.70 Celsius
16:40:00.724 -> Humidity: 36.40 %, Temp: 37.70 Celsius
16:40:10.713 -> Humidity: 36.40 %, Temp: 37.70 Celsius
16:40:20.721 -> Humidity: 36.40 %, Temp: 37.70 Celsius
16:40:30.714 -> Humidity: 36.40 %, Temp: 37.70 Celsius
16:40:40.698 -> Humidity: 36.40 %, Temp: 37.70 Celsius
16:40:50.696 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:41:00.678 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:41:10.669 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:41:20.635 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:41:30.645 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:41:40.604 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:41:50.589 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:42:00.610 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:42:10.573 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:42:20.596 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:42:30.550 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:42:40.573 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:42:50.528 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:43:00.560 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:43:10.513 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:43:20.505 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:43:30.520 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:43:40.491 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:43:50.487 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:44:00.466 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:44:10.467 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:44:20.472 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:44:30.433 -> Humidity: 36.40 %, Temp: 37.80 Celsius
16:44:40.449 -> Humidity: 36.40 %, Temp: 37.90 Celsius
16:44:50.404 -> Humidity: 36.40 %, Temp: 37.90 Celsius
16:45:00.424 -> Humidity: 36.30 %, Temp: 37.80 Celsius
16:45:10.422 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:45:20.377 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:45:30.376 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:45:40.378 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:45:50.365 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:46:00.345 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:46:10.327 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:46:20.336 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:46:30.331 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:46:40.324 -> Humidity: 36.30 %, Temp: 37.90 Celsius
16:46:50.283 -> Humidity: 36.30 %, Temp: 37.90 Celsius
